agent_cond,seed,eval_cond,scenario_id,topology_id,episode,root_owned,reachable,n_discovered,won,score
static,42,membership_matched,._graphs_yN60_s42_2026-08-03_17-15-34_1,./graphs_yN60_s42_2026-08-03_17-15-34/1,0,0,51,1,0,0.0
static,42,membership_matched,._graphs_yN60_s42_2026-08-03_17-15-34_1,./graphs_yN60_s42_2026-08-03_17-15-34/1,1,16,37,34,0,0.43243243243243246
static,42,membership_matched,._graphs_yN60_s42_2026-08-03_17-15-34_1,./graphs_yN60_s42_2026-08-03_17-15-34/1,2,0,51,1,0,0.0
static,42,membership_matched,._graphs_yN60_s42_2026-08-03_17-15-34_1,./graphs_yN60_s42_2026-08-03_17-15-34/1,3,17,34,29,0,0.5
static,42,membership_matched,._graphs_yN60_s42_2026-08-03_17-15-34_1,./graphs_yN60_s42_2026-08-03_17-15-34/1,4,15,30,28,0,0.5
static,42,membership_matched,._graphs_yN60_s42_2026-08-03_17-15-34_1,./graphs_yN60_s42_2026-08-03_17-15-34/1,5,17,33,31,0,0.5151515151515151
static,42,membership_matched,._graphs_yN60_s42_2026-08-03_17-15-34_1,./graphs_yN60_s42_2026-08-03_17-15-34/1,6,26,38,36,0,0.6842105263157895
static,42,membership_matched,._graphs_yN60_s42_2026-08-03_17-15-34_1,./graphs_yN60_s42_2026-08-03_17-15-34/1,7,17,37,35,0,0.4594594594594595
static,42,membership_matched,._graphs_yN60_s42_2026-08-03_17-15-34_1,./graphs_yN60_s42_2026-08-03_17-15-34/1,8,18,33,31,0,0.5454545454545454
static,42,membership_matched,._graphs_yN60_s42_2026-08-03_17-15-34_1,./graphs_yN60_s42_2026-08-03_17-15-34/1,9,16,32,29,0,0.5
static,42,membership_matched,._graphs_yN60_s42_2026-08-03_17-15-34_1,./graphs_yN60_s42_2026-08-03_17-15-34/1,10,20,32,30,0,0.625
static,42,membership_matched,._graphs_yN60_s42_2026-08-03_17-15-34_1,./graphs_yN60_s42_2026-08-03_17-15-34/1,11,21,33,31,0,0.6363636363636364
static,42,membership_matched,._graphs_yN60_s42_2026-08-03_17-15-34_1,./graphs_yN60_s42_2026-08-03_17-15-34/1,12,22,33,31,0,0.6666666666666666
static,42,membership_matched,._graphs_yN60_s42_2026-08-03_17-15-34_1,./graphs_yN60_s42_2026-08-03_17-15-34/1,13,17,33,31,0,0.5151515151515151
static,42,membership_matched,._graphs_yN60_s42_2026-08-03_17-15-34_1,./graphs_yN60_s42_2026-08-03_17-15-34/1,14,17,34,31,0,0.5
static,42,membership_matched,._graphs_yN60_s42_2026-08-03_17-15-34_1,./graphs_yN60_s42_2026-08-03_17-15-34/1,15,15,49,45,0,0.30612244897959184
static,42,membership_matched,._graphs_yN60_s42_2026-08-03_17-15-34_1,./graphs_yN60_s42_2026-08-03_17-15-34/1,16,20,35,33,0,0.5714285714285714
static,42,membership_matched,._graphs_yN60_s42_2026-08-03_17-15-34_1,./graphs_yN60_s42_2026-08-03_17-15-34/1,17,14,35,32,0,0.4
static,42,membership_matched,._graphs_yN60_s42_2026-08-03_17-15-34_1,./graphs_yN60_s42_2026-08-03_17-15-34/1,18,17,34,33,0,0.5
static,42,membership_matched,._graphs_yN60_s42_2026-08-03_17-15-34_1,./graphs_yN60_s42_2026-08-03_17-15-34/1,19,24,33,31,0,0.7272727272727273
static,42,membership_matched,._graphs_yN60_s42_2026-08-03_17-15-34_1,./graphs_yN60_s42_2026-08-03_17-15-34/1,20,18,31,29,0,0.5806451612903226
static,42,membership_matched,._graphs_yN60_s42_2026-08-03_17-15-34_1,./graphs_yN60_s42_2026-08-03_17-15-34/1,21,20,33,31,0,0.6060606060606061
static,42,membership_matched,._graphs_yN60_s42_2026-08-03_17-15-34_1,./graphs_yN60_s42_2026-08-03_17-15-34/1,22,21,33,32,0,0.6363636363636364
static,42,membership_matched,._graphs_yN60_s42_2026-08-03_17-15-34_1,./graphs_yN60_s42_2026-08-03_17-15-34/1,23,18,35,33,0,0.5142857142857142
static,42,membership_matched,._graphs_yN60_s42_2026-08-03_17-15-34_1,./graphs_yN60_s42_2026-08-03_17-15-34/1,24,0,49,2,0,0.0
static,42,membership_matched,._graphs_yN60_s42_2026-08-03_17-15-34_1,./graphs_yN60_s42_2026-08-03_17-15-34/1,25,16,32,30,0,0.5
static,42,membership_matched,._graphs_yN60_s42_2026-08-03_17-15-34_1,./graphs_yN60_s42_2026-08-03_17-15-34/1,26,22,34,32,0,0.6470588235294118
static,42,membership_matched,._graphs_yN60_s42_2026-08-03_17-15-34_1,./graphs_yN60_s42_2026-08-03_17-15-34/1,27,18,34,32,0,0.5294117647058824
static,42,membership_matched,._graphs_yN60_s42_2026-08-03_17-15-34_1,./graphs_yN60_s42_2026-08-03_17-15-34/1,28,20,34,32,0,0.5882352941176471
static,42,membership_matched,._graphs_yN60_s42_2026-08-03_17-15-34_1,./graphs_yN60_s42_2026-08-03_17-15-34/1,29,18,34,31,0,0.5294117647058824
